skin_bonus-10000201,引き込もりゾンビ
skin_bonus-20000201,ハロウィンのG11を撮った一枚。M99によれば「何が起きたのか分からないけど、私が意識を取り戻したときには、G11はその恰好をしていましたよ」とのこと。M99が目を覚ますまでの間に何があったかは、今回のハロウィン最大の謎だ。
skin_bonus-30000201,外観-アイコン
skin_bonus-10000202,猫のソリスト
skin_bonus-20000202,ハロウィンのVectorを撮った一枚。「この写真を見たことのある人は指揮官だけ。もちろん、見たことのある人が皆消えたから、あたしが初めて……」。写真の横に書かれたメモはここで途切れ、長く伸びた最後の線が、今宵、世にも恐ろしい惨劇が起こることを示している。
skin_bonus-30000202,宿舍-ポスター
skin_bonus-10000203,お散歩ネコ
skin_bonus-20000203,どこから来たのか分からない猫。正体がバレないよう変装させられているだけなのかも？人に飛びつくのが好きで、何か嗅ぎまわっているようにも見えるが……深く追究しないほうが良さそうだ。
skin_bonus-30000203,宿舍-ペット
skin_bonus-10000204,ハロウィン・サプライズ
skin_bonus-20000204,ハロウィンの夜に撮った貴重な写真。賑やかな夜がお開きになっても、寝落ちしていたG11だけがその場に取り残されていた。
skin_bonus-30000204,宿舍-ポスター
skin_bonus-10000301,デモンハンター
skin_bonus-20000301,トンプソンの戦っている瞬間。彼女のようなハンターだって、失敗することはある。でも、たくさんの傷に耐えてきたからこそ、彼女はこんなに頼もしく、粋なのだ。
skin_bonus-30000301,外観-アイコン
skin_bonus-10000302,黒いスポーツバイク
skin_bonus-20000302,AEK-999お気に入りのバイク。しかし、彼女がこれに乗るときは服も着替えるため、このバイクの存在は仲のいいツーリング仲間にしか知られていない。
skin_bonus-30000302,家具-フロア装飾
skin_bonus-10000303,命懸けの公演
skin_bonus-20000303,公演開始前の劇場の写真。全てはすでに犯人の思惑通りだった。指揮官がその場にいたこと以外は……
skin_bonus-30000303,建物-基地背景
skin_bonus-10000101,スノウエルフ
skin_bonus-20000101,クリスマスのスオミを撮った一枚だけど、何が起こったのかは誰にも分からないーー「スカートをめくられたんでしょ」、AK47は続けて言った「何が恥ずかしいのかは分からんがな。せいぜい指揮官がいるぐらいなのにさ」。「それこそ演技力の見せどころね」マカロフは鼻で笑いながら分析する。
skin_bonus-30000101,外観-アイコン
skin_bonus-10000102,クワスタンク車
skin_bonus-20000102,思う存分飲むことのみが、本場のクワスの美味に対する礼儀となり得る。
skin_bonus-30000102,家具-フロア装飾
skin_bonus-10000103,聖夜の宴
skin_bonus-20000103,クリスマスイブのパーティー開始前に撮影された貴重な一枚。なぜ貴重かと言うと、パーティーが始まってしまえば、人形であろうと食べ物であろうと見るに堪えない姿に変わってしまうからだ。
skin_bonus-30000103,家具-ポスター
skin_bonus-10000104,聖夜の小部屋
skin_bonus-20000104,クリスマスとプレゼントは切っても切れないものとは言え、せめて足の踏み場ぐらいは残そうよ……
skin_bonus-30000104,建物-基地背景
skin_bonus-10000401,紅包女神の微笑み
skin_bonus-20000401,紅包を手に入れた人形たちは大喜び。一方、Gd DSR-50は新たなあだ名を手に入れたのであった。
skin_bonus-30000401,外観-アイコン
skin_bonus-10000402,旧正月のバー
skin_bonus-20000402,M590が真心こめて飾りつけをしたパーティーホール。東洋の色彩に満ちていたグリフィンのバー。
skin_bonus-30000402,建物-基地背景
skin_bonus-10000403,女神
skin_bonus-20000403,残紅落ち尽くして始めて芳を吐く、佳名喚びて百花の王と作す。競い誇る天下無双の艶、独り占む人間第一の香り。
skin_bonus-30000403,外観-IDカード背景
skin_bonus-10000501,憂鬱の花嫁
skin_bonus-20000501,表情と服装があまり噛み合っていない一枚。しかしこの不一致さこそが、この写真に保存に値する価値を生み出しているようだ。
skin_bonus-30000501,外観-アイコン
skin_bonus-10000502,自宅警備隊マーク
skin_bonus-20000502,生活本来の有様を示しだしたマークがまた一つ。しかし「真相」とは、果たして絶対に真実なのか？
skin_bonus-30000502,家具-ポスター
skin_bonus-10000503,ウェディング用レースカーテン
skin_bonus-20000503,カーテンの装飾を見るたび、あの甘い一瞬を思い出すことができる、たとえその中に満ち溢れているのが、自らの幸福ではなかったとしても。
skin_bonus-30000503,家具-フロア装飾
skin_bonus-10000504,大聖堂
skin_bonus-20000504,厳かな雰囲気の建物。中に入ってみると、知らず知らずのうちに自らも厳粛になってくる。ここで交わす誓いの言葉は、きっと破られることはないだろう。
skin_bonus-30000504,建物-基地背景
skin_bonus-10000601,アイコン：アニバーサリー特売カリーナ
skin_bonus-20000601,指揮官さまと一緒に過ごしたこの一年間、本当に楽しかったです！次の一年もたくさんお買い物してくださいね~
skin_bonus-30000601,外観-アイコン
skin_bonus-10000602,家具：鋼の巨人
skin_bonus-20000602,まるで世界の名画のように見える壁掛け。……これを見るたび心が重く感じる。
skin_bonus-30000602,家具-掛け物
skin_bonus-10000603,IDカード背景：私たちの一年間
skin_bonus-20000603,この加工処理された写真は、本来左側に映ってた重要人物たちに見せないこと、よく覚えておいてね。
skin_bonus-30000603,外観-IDカード背景
skin_bonus-10000701,ダイヤのスパイ
skin_bonus-20000701,よくできたスパイは潜入前に自身のプロフィールを事細かに設定する。自身を示す精巧なカードもまた、プロである証左なのだ。
skin_bonus-30000701,家具-掛け物
skin_bonus-10000702,クロノスローン
skin_bonus-20000702,この世に永久に朽ちることのない王座は存在しない。権力とは手に握られた細かい砂のように、少しずつ指の合間から零れ落ちていくものだ。
skin_bonus-30000702,家具-フロア装飾
skin_bonus-10000703,アイコン：ベストトレード
skin_bonus-20000703,各々の願いが叶えられたあとは、買い手も売り手もにっこり笑顔。
skin_bonus-30000703,外観-アイコン
skin_bonus-10000801,アイコン：貴族の試作品
skin_bonus-20000801,……うん、やっとそれなりの紅茶を淹れることができた。指揮官、味はどうだ？
skin_bonus-30000801,外観-アイコン
skin_bonus-10000802,IDカード背景：見習いメイド会
skin_bonus-20000802,本物のメイドカフェほどのサービスは期待していないけど……みんなの違った一面を見られるだけでも、訪ねる価値はあるだろう。
skin_bonus-30000802,外観-IDカード背景
skin_bonus-10000803,背景：暖かい喫茶店
skin_bonus-20000803,人間でも人形でも、疲れたのなら、ここで少し休もう。
skin_bonus-30000803,建物-基地背景
skin_bonus-10000901,IDカード背景：ビーチパーティ
skin_bonus-20000901,グリフィンの人形たちは短くも平和な夏季休暇を勝ち取ったが、このビーチには何か秘密が隠されているようだ……彼女たちは本当に"平和な"休暇を送れるのだろうか？
skin_bonus-30000901,外観-IDカード背景
skin_bonus-10000902,アイコン：ビーチパンク2064
skin_bonus-20000902,G41、行きます！ご主人様、見ててくださいね！
skin_bonus-30000902,外観-アイコン
skin_bonus-10000903,家具：ウェットスーツのFAL
skin_bonus-20000903,ビーチでの奇妙な巡り合わせの記念として、フェレットに与えられた新衣装。……いつ使うのかは分かんないけど、FALが気に入ってるならまぁいっか！
skin_bonus-30000903,家具-フロア装飾
skin_bonus-10001001,アイコン：パンプキン・スキュアー
skin_bonus-20001001,のんびりしているようで生真面目な一面も併せ持つS.A.T.8だが、今回はどのような珍妙な出来事が、彼女の心をかき乱すのだろうか。
skin_bonus-30001001,外観·アイコン
skin_bonus-10001002,家具：幽霊トラップ、噛みつくぞ！
skin_bonus-20001002,天下無双のインターネッツ覇者であるMDRに史上最大の危機が訪れた？！いったい誰がこんな！こんな……おっきなハートを？(MDR:削除求ム！！
skin_bonus-30001002,家具-掛け物
skin_bonus-10001003,家具：魔女の森壁紙
skin_bonus-20001003,グリフィンにて行われたハロウィンパーティーの様子を撮影したもの。この写真に写っている人形たちは……全員その日の夜遅くに……いつもの服に着替えましたとさ。
skin_bonus-30001003,家具-掛け物
skin_bonus-10001004,IDカード背景：ガン・アンド・ザ・バガー
skin_bonus-20001004,仮装なのか、はたまた本当の怪物か？それはバイクのパニアケースのように、こちらから見ることはできないが、向こうはずっとこちらを見つめ続ける……
skin_bonus-30001004,外観·IDカード背景
skin_bonus-10001101,家具：スノーフェアリーライト
