mission-10000001,Warm-Up Exercise
mission-20000001,
mission-10000002,Dark Information
mission-20000002,
mission-10000003,Defend the Base
mission-20000003,
mission-10000004,Final Challenge
mission-20000004,
mission-10000005,Drill
mission-20000005,
mission-10000006,Transport the Injured
mission-20000006,
mission-10000007,Investigate Anomalies
mission-20000007,
mission-10000008,Missing Party
mission-20000008,
mission-10000009,Rescue Signal
mission-20000009,
mission-10000010,Operation Uproot
mission-20000010,
mission-10000011,Advanced Training I
mission-20000011,
mission-10000012,Advanced Training II
mission-20000012,
mission-10000013,Advanced Training III
mission-20000013,
mission-10000014,Advanced Training IV
mission-20000014,
mission-10000015,Record Trace
mission-20000015,
mission-10000016,Emergency Reinforcement
mission-20000016,
mission-10000017,Enemy Investigation
mission-20000017,
mission-10000018,Data Collection
mission-20000018,
mission-10000019,Additional Commission
mission-20000019,
mission-10000020,Termination
mission-20000020,
mission-10000021,Field Samples I
mission-20000021,
mission-10000022,Field Samples II
mission-20000022,
mission-10000023,Field Samples III
mission-20000023,
mission-10000024,Field Samples IV
mission-20000024,
mission-10000025,Clearing a Path
mission-20000025,
mission-10000026,Intercepted Intelligence
mission-20000026,
mission-10000027,Covert Reinforcement
mission-20000027,
mission-10000028,Defensive Operation
mission-20000028,
mission-10000029,Swift Counterattack
mission-20000029,
mission-10000030,No Hunting
mission-20000030,
mission-10000031,Data Retrieval I
mission-20000031,
mission-10000032,Data Retrieval II
mission-20000032,
mission-10000033,Data Retrieval III
mission-20000033,
mission-10000034,Data Retrieval IV
mission-20000034,
mission-10000035,Assist the Mercenaries
mission-20000035,
mission-10000036,Cut Off Reinforcement
mission-20000036,
mission-10000037,Break Through Enemy Lines
mission-20000037,
mission-10000038,Search for Companions
mission-20000038,
mission-10000039,Locate the Coordinates
mission-20000039,
mission-10000040,Eradicate the Disturbance
mission-20000040,
mission-10000041,Reminiscing I
mission-20000041,
mission-10000042,Reminiscing II
mission-20000042,
mission-10000043,Reminiscing III
mission-20000043,
mission-10000044,Reminiscing IV
mission-20000044,
mission-10000045,Drill Attendance
mission-20000045,
mission-10000046,Raid Resistance
mission-20000046,
mission-10000047,Counterstrike
mission-20000047,
mission-10000048,Safeguard Retreat
mission-20000048,
mission-10000049,Internal Phenomenon
mission-20000049,
mission-10000050,Order to Pursue
mission-20000050,
mission-10000051,Solving the Mystery I
mission-20000051,
mission-10000052,Solving the Mystery II
mission-20000052,
mission-10000053,Solving the Mystery III
mission-20000053,
mission-10000054,Solving the Mystery IV
mission-20000054,
mission-10000055,Squad Negev
mission-20000055,
mission-10000056,Double Rescue
mission-20000056,
mission-10000057,Reunion
mission-20000057,
mission-10000058,Prisoner
mission-20000058,
mission-10000059,Resolve
mission-20000059,
mission-10000060,Late Farewell
mission-20000060,
mission-10000061,Final Wish I
mission-20000061,
mission-10000062,Final Wish II
mission-20000062,
mission-10000063,Final Wish III
mission-20000063,
mission-10000064,Final Wish IV
mission-20000064,
mission-10000065,New Job
mission-20000065,
mission-10001101,EXP Mode I
mission-20001101,
mission-10001102,EXP Mode II
mission-20001102,
mission-10001103,EXP Mode III
mission-20001103,
mission-10001201,Capsule Mode I
mission-20001201,
mission-10001202,Capsule Mode II
mission-20001202,
mission-10001203,Capsule Mode III
mission-20001203,
mission-10001301,Data Mode I
mission-20001301,
mission-10001302,Data Mode II
mission-20001302,
mission-10001303,Data Mode III
mission-20001303,
mission-10001501,Neural Cloud Corridor I
mission-20001501,
mission-10001502,Neural Cloud Corridor II
mission-20001502,
mission-10001503,Neural Cloud Corridor III
mission-20001503,
mission-10010001,Seven-Step Puzzle
mission-20010001,
mission-10010002,Corner Breaker
mission-20010002,
mission-10010003,Layers Reversal
mission-20010003,
mission-10010004,Side Collapse
mission-20010004,
mission-10010005,The Wolves Gather I
mission-20010005,
mission-10010006,The Wolves Gather II
mission-20010006,
mission-10010007,The Wolves Gather III
mission-20010007,
mission-10010008,The Wolves Gather IV
mission-20010008,
mission-10010009,Lighting Curfew I
